조회일자,품목코드,품목명,평년비율,전일비율,도매일일가격,도매순가격,도매전일가격,도매전순가격,도매전년순가격,도매평년순가격,도매일일위기단계명,도매일일작형연속위기횟수,도매일일작형위기단계코드,도매순위기단계명,도매순작형위기단계코드,도매순작형연속위기횟수,도매월위기단계명,도매월작형위기단계코드,도매전일자,도매전순월,도매전순명,도매순월,도매순명,도매일자,소매일일가격,소매순가격,소매전일가격,소매전순가격,소매전년순가격,소매평년순가격,소매전일자,소매전순월,소매전순명,소매순월,소매순명,소매일자
2024-01-03,1001,배추,26.738,12.078,2133.333,1981.667,1875.667,2090,1345.667,1683,안정,10,4,안정,4,1,안정,4,2023-12-30,12,하순,1,상순,2024-01-03,3396,3163,3356,3123,3113,3461,2024-01-02,12,하순,1,상순,2024-01-03
2024-01-03,1101,무,-16.626,-16.131,1033.4,939.9,1200.1,1191,1086.4,1239,안정,2,4,안정,4,1,안정,4,2023-12-30,12,하순,1,상순,2024-01-03,1774,1806,1779,1769,1892,1863,2024-01-02,12,하순,1,상순,2024-01-03
2024-01-03,1207,건고추,13.79,0,13524,13515.42,13524,13524,12528,11885,상승심각,93,7,상승심각,7,1,상승심각,7,2023-12-29,12,하순,1,상순,2024-01-02,18352,18430,18352,18416,16366,15669,2023-12-29,12,하순,1,상순,2024-01-02
2024-01-03,1209,마늘,-1.89,0,6750,6750,6750,6792,8130.95,6880,상승주의,66,5,상승주의,5,1,상승주의,5,2023-12-29,12,하순,1,상순,2024-01-02,10278,9599,10208,9909,12734,10593,2023-12-29,12,하순,1,상순,2024-01-02
2024-01-03,1201,양파,23.084,-4.23,1253,1216,1306,1276,1400,1018,안정,74,4,안정,4,1,안정,4,2023-12-30,12,하순,1,상순,2024-01-03,2427,2317,2445,2344,2888,2083,2024-01-02,12,하순,1,상순,2024-01-03
2024-01-03,1202,대파,113.841,-34.984,3090,3150,4171,4232,1429,1445,상승심각,16,7,상승심각,7,1,상승심각,7,2023-12-30,12,하순,1,상순,2024-01-03,7808,6976,7765,7341,5499,4840,2024-01-02,12,하순,1,상순,2024-01-03
2024-01-04,1001,배추,13.072,-12.084,1903.333,1981.667,2133.333,2090,1345.667,1683,안정,11,4,안정,4,1,안정,4,2024-01-03,12,하순,1,상순,2024-01-04,3204,3163,3396,3123,3113,3461,2024-01-03,12,하순,1,상순,2024-01-04
2024-01-04,1101,무,-23.325,-8.756,950.2,939.9,1033.4,1191,1086.4,1239,안정,3,4,안정,4,1,안정,4,2024-01-03,12,하순,1,상순,2024-01-04,1821,1806,1774,1769,1892,1863,2024-01-03,12,하순,1,상순,2024-01-04
2024-01-04,1207,건고추,13.79,0,13524,13515.42,13524,13524,12528,11885,상승심각,94,7,상승심각,7,1,상승심각,7,2024-01-02,12,하순,1,상순,2024-01-03,18352,18430,18352,18416,16366,15669,2024-01-02,12,하순,1,상순,2024-01-03
2024-01-04,1209,마늘,-1.89,0,6750,6750,6750,6792,8130.95,6880,상승주의,67,5,상승주의,5,1,상승주의,5,2024-01-02,12,하순,1,상순,2024-01-03,10299,9599,10278,9909,12734,10593,2024-01-02,12,하순,1,상순,2024-01-03
2024-01-04,1201,양파,19.646,-2.874,1218,1216,1253,1276,1400,1018,안정,75,4,안정,4,1,안정,4,2024-01-03,12,하순,1,상순,2024-01-04,2323,2317,2427,2344,2888,2083,2024-01-03,12,하순,1,상순,2024-01-04
2024-01-04,1202,대파,133.495,8.417,3374,3150,3090,4232,1429,1445,상승심각,17,7,상승심각,7,1,상승심각,7,2024-01-03,12,하순,1,상순,2024-01-04,6966,6976,7808,7341,5499,4840,2024-01-03,12,하순,1,상순,2024-01-04
2024-01-05,1001,배추,9.745,-3.031,1847.333,1981.667,1903.333,2090,1345.667,1683,안정,12,4,안정,4,1,안정,4,2024-01-04,12,하순,1,상순,2024-01-05,3089,3163,3204,3123,3113,3461,2024-01-04,12,하순,1,상순,2024-01-05
2024-01-05,1101,무,-22.034,1.605,965.7,939.9,950.2,1191,1086.4,1239,안정,4,4,안정,4,1,안정,4,2024-01-04,12,하순,1,상순,2024-01-05,1812,1806,1821,1769,1892,1863,2024-01-04,12,하순,1,상순,2024-01-05
2024-01-05,1207,건고추,13.69,-0.089,13512,13515.42,13524,13524,12528,11885,상승심각,95,7,상승심각,7,1,상승심각,7,2024-01-03,12,하순,1,상순,2024-01-04,18448,18430,18352,18416,16366,15669,2024-01-03,12,하순,1,상순,2024-01-04
2024-01-05,1209,마늘,-1.89,0,6750,6750,6750,6792,8130.95,6880,상승주의,68,5,상승주의,5,1,상승주의,5,2024-01-03,12,하순,1,상순,2024-01-04,9922,9599,10299,9909,12734,10593,2024-01-03,12,하순,1,상순,2024-01-04
2024-01-05,1201,양파,23.281,2.948,1255,1216,1218,1276,1400,1018,안정,76,4,안정,4,1,안정,4,2024-01-04,12,하순,1,상순,2024-01-05,2128,2317,2323,2344,2888,2083,2024-01-04,12,하순,1,상순,2024-01-05
2024-01-05,1202,대파,123.806,-4.329,3234,3150,3374,4232,1429,1445,상승심각,18,7,상승심각,7,1,상승심각,7,2024-01-04,12,하순,1,상순,2024-01-05,6613,6976,6966,7341,5499,4840,2024-01-04,12,하순,1,상순,2024-01-05
2024-01-06,1201,양파,22.495,-0.642,1247,1216,1255,1276,1400,1018,안정,77,4,안정,4,1,안정,4,2024-01-05,12,하순,1,상순,2024-01-06,2128,2313,2323,2344,2888,2083,2024-01-04,12,하순,1,상순,2024-01-05
2024-01-06,1202,대파,125.813,0.889,3263,3150,3234,4232,1429,1445,상승심각,19,7,상승심각,7,1,상승심각,7,2024-01-05,12,하순,1,상순,2024-01-06,6613,7049,6966,7341,5499,4840,2024-01-04,12,하순,1,상순,2024-01-05
2024-01-06,1001,배추,0.832,-8.837,1697.333,1981.667,1847.333,2090,1345.667,1683,안정,13,4,안정,4,1,안정,4,2024-01-05,12,하순,1,상순,2024-01-06,3089,3191,3204,3123,3113,3461,2024-01-04,12,하순,1,상순,2024-01-05
2024-01-06,1101,무,-27.28,-7.24,900.5,939.9,965.7,1191,1086.4,1239,안정,5,4,안정,4,1,안정,4,2024-01-05,12,하순,1,상순,2024-01-06,1812,1806,1821,1769,1892,1863,2024-01-04,12,하순,1,상순,2024-01-05
2024-01-06,1207,건고추,13.69,0,13512,13516,13512,13524,12528,11885,상승심각,96,7,상승심각,7,1,상승심각,7,2024-01-04,12,하순,1,상순,2024-01-05,18448,18427,18448,18416,16366,15669,2024-01-04,12,하순,1,상순,2024-01-05
2024-01-06,1209,마늘,-1.89,0,6750,6750,6750,6792,8130.95,6880,상승주의,69,5,상승주의,5,1,상승주의,5,2024-01-04,12,하순,1,상순,2024-01-05,9198,9674,9922,9909,12734,10593,2024-01-04,12,하순,1,상순,2024-01-05
2024-01-07,1001,배추,0.832,-8.837,1697.333,1981.667,1847.333,2090,1345.667,1683,안정,13,4,안정,4,1,안정,4,2024-01-05,12,하순,1,상순,2024-01-06,3089,3191,3204,3123,3113,3461,2024-01-04,12,하순,1,상순,2024-01-05
2024-01-07,1101,무,-27.28,-7.24,900.5,939.9,965.7,1191,1086.4,1239,안정,5,4,안정,4,1,안정,4,2024-01-05,12,하순,1,상순,2024-01-06,1812,1806,1821,1769,1892,1863,2024-01-04,12,하순,1,상순,2024-01-05
2024-01-07,1207,건고추,13.69,0,13512,13516,13512,13524,12528,11885,상승심각,96,7,상승심각,7,1,상승심각,7,2024-01-04,12,하순,1,상순,2024-01-05,18448,18427,18448,18416,16366,15669,2024-01-04,12,하순,1,상순,2024-01-05
2024-01-07,1209,마늘,-1.89,0,6750,6750,6750,6792,8130.95,6880,상승주의,69,5,상승주의,5,1,상승주의,5,2024-01-04,12,하순,1,상순,2024-01-05,9198,9674,9922,9909,12734,10593,2024-01-04,12,하순,1,상순,2024-01-05
2024-01-07,1201,양파,22.495,-0.642,1247,1216,1255,1276,1400,1018,안정,77,4,안정,4,1,안정,4,2024-01-05,12,하순,1,상순,2024-01-06,2128,2313,2323,2344,2888,2083,2024-01-04,12,하순,1,상순,2024-01-05
2024-01-07,1202,대파,125.813,0.889,3263,3150,3234,4232,1429,1445,상승심각,19,7,상승심각,7,1,상승심각,7,2024-01-05,12,하순,1,상순,2024-01-06,6613,7049,6966,7341,5499,4840,2024-01-04,12,하순,1,상순,2024-01-05
2024-01-08,1001,배추,22.282,17.538,2058.333,1981.667,1697.333,2090,1345.667,1683,안정,14,4,안정,4,1,안정,4,2024-01-06,12,하순,1,상순,2024-01-08,3060,3191,3089,3123,3113,3461,2024-01-05,12,하순,1,상순,2024-01-08
2024-01-08,1101,무,-27.361,-0.056,900,939.9,900.5,1191,1086.4,1239,안정,6,4,안정,4,1,안정,4,2024-01-06,12,하순,1,상순,2024-01-08,1829,1806,1812,1769,1892,1863,2024-01-05,12,하순,1,상순,2024-01-08
2024-01-08,1207,건고추,13.69,0,13512,13516,13512,13524,12528,11885,상승심각,96,7,상승심각,7,1,상승심각,7,2024-01-04,12,하순,1,상순,2024-01-05,18448,18427,18448,18416,16366,15669,2024-01-04,12,하순,1,상순,2024-01-05
2024-01-08,1209,마늘,-1.89,0,6750,6750,6750,6792,8130.95,6880,상승주의,69,5,상승주의,5,1,상승주의,5,2024-01-04,12,하순,1,상순,2024-01-05,9198,9674,9922,9909,12734,10593,2024-01-04,12,하순,1,상순,2024-01-05
2024-01-08,1201,양파,20.432,-1.713,1226,1216,1247,1276,1400,1018,안정,78,4,안정,4,1,안정,4,2024-01-06,12,하순,1,상순,2024-01-08,2220,2313,2128,2344,2888,2083,2024-01-05,12,하순,1,상순,2024-01-08
2024-01-08,1202,대파,117.578,-3.785,3144,3150,3263,4232,1429,1445,상승심각,20,7,상승심각,7,1,상승심각,7,2024-01-06,12,하순,1,상순,2024-01-08,6581,7049,6613,7341,5499,4840,2024-01-05,12,하순,1,상순,2024-01-08
2024-01-09,1001,배추,29.947,5.869,2186.667,1981.667,2058.333,2090,1345.667,1683,안정,15,4,안정,4,1,안정,4,2024-01-08,12,하순,1,상순,2024-01-09,3038,3191,3060,3123,3113,3461,2024-01-08,12,하순,1,상순,2024-01-09
2024-01-09,1101,무,-23.164,5.502,952.4,939.9,900,1191,1086.4,1239,안정,7,4,안정,4,1,안정,4,2024-01-08,12,하순,1,상순,2024-01-09,1823,1806,1829,1769,1892,1863,2024-01-08,12,하순,1,상순,2024-01-09
2024-01-09,1207,건고추,13.69,0,13512,13516,13512,13524,12528,11885,상승심각,97,7,상승심각,7,1,상승심각,7,2024-01-05,12,하순,1,상순,2024-01-08,18480,18427,18448,18416,16366,15669,2024-01-05,12,하순,1,상순,2024-01-08
2024-01-09,1209,마늘,-1.89,0,6750,6750,6750,6792,8130.95,6880,상승주의,70,5,상승주의,5,1,상승주의,5,2024-01-05,12,하순,1,상순,2024-01-08,9198,9674,9198,9909,12734,10593,2024-01-05,12,하순,1,상순,2024-01-08
2024-01-09,1201,양파,17.191,-2.766,1193,1216,1226,1276,1400,1018,안정,79,4,안정,4,1,안정,4,2024-01-08,12,하순,1,상순,2024-01-09,2332,2313,2220,2344,2888,2083,2024-01-08,12,하순,1,상순,2024-01-09
2024-01-09,1202,대파,114.81,-1.289,3104,3150,3144,4232,1429,1445,상승심각,21,7,상승심각,7,1,상승심각,7,2024-01-08,12,하순,1,상순,2024-01-09,6558,7049,6581,7341,5499,4840,2024-01-08,12,하순,1,상순,2024-01-09
2024-01-10,1202,대파,96.54,-9.296,2840,3150,3104,4232,1429,1445,상승심각,22,7,상승심각,7,1,상승심각,7,2024-01-09,12,하순,1,상순,2024-01-10,6558,7049,6581,7341,5499,4840,2024-01-08,12,하순,1,상순,2024-01-09
2024-01-10,1001,배추,21.569,-6.875,2046,1981.667,2186.667,2090,1345.667,1683,안정,16,4,안정,4,1,안정,4,2024-01-09,12,하순,1,상순,2024-01-10,3038,3191,3060,3123,3113,3461,2024-01-08,12,하순,1,상순,2024-01-09
2024-01-10,1101,무,-29.217,-8.61,876.9,939.9,952.4,1191,1086.4,1239,안정,8,4,안정,4,1,안정,4,2024-01-09,12,하순,1,상순,2024-01-10,1823,1806,1829,1769,1892,1863,2024-01-08,12,하순,1,상순,2024-01-09
2024-01-10,1207,건고추,13.69,0,13512,13516,13512,13524,12528,11885,상승심각,98,7,상승심각,7,1,상승심각,7,2024-01-08,12,하순,1,상순,2024-01-09,18480,18427,18480,18416,16366,15669,2024-01-08,12,하순,1,상순,2024-01-09
2024-01-10,1209,마늘,-1.89,0,6750,6750,6750,6792,8130.95,6880,상승주의,71,5,상승주의,5,1,상승주의,5,2024-01-08,12,하순,1,상순,2024-01-09,9149,9674,9198,9909,12734,10593,2024-01-08,12,하순,1,상순,2024-01-09
2024-01-10,1201,양파,10.118,-6.423,1121,1216,1193,1276,1400,1018,안정,80,4,안정,4,1,안정,4,2024-01-09,12,하순,1,상순,2024-01-10,2332,2313,2220,2344,2888,2083,2024-01-08,12,하순,1,상순,2024-01-09
2024-01-11,1001,배추,-2.652,-13.709,1799.333,1975,2046,1982,1345.667,1848,안정,17,4,안정,4,1,안정,4,2024-01-10,1,상순,1,중순,2024-01-11,3038,2776,3060,3191,2878,3410,2024-01-08,1,상순,1,중순,2024-01-09
2024-01-11,1101,무,-30.471,-4.157,841.9,890.7,876.9,940,1085,1211,안정,9,4,안정,4,1,안정,4,2024-01-10,1,상순,1,중순,2024-01-11,1823,1434,1829,1806,1819,1843,2024-01-08,1,상순,1,중순,2024-01-09
2024-01-11,1207,건고추,13.968,0,13512,13512,13512,13516,12528,11856,상승심각,98,7,상승심각,7,1,상승심각,7,2024-01-08,1,상순,1,중순,2024-01-09,18480,18544,18480,18427,16408,15675,2024-01-08,1,상순,1,중순,2024-01-09
2024-01-11,1209,마늘,-1.875,0,6750,6750,6750,6750,8125,6879,상승주의,71,5,상승주의,5,1,상승주의,5,2024-01-08,1,상순,1,중순,2024-01-09,9149,10054,9198,9674,12632,10335,2024-01-08,1,상순,1,중순,2024-01-09
2024-01-11,1201,양파,18.326,-0.358,1117,1070,1121,1216,1350,944,안정,81,4,안정,4,1,안정,4,2024-01-10,1,상순,1,중순,2024-01-11,2332,2340,2220,2313,2766,2157,2024-01-08,1,상순,1,중순,2024-01-09
2024-01-11,1202,대파,105.379,-4.758,2711,2623,2840,3150,1492,1320,상승심각,23,7,상승심각,7,1,상승심각,7,2024-01-10,1,상순,1,중순,2024-01-11,6558,6219,6581,7049,6248,5136,2024-01-08,1,상순,1,중순,2024-01-09
2024-01-12,1202,대파,92.652,-6.606,2543,2623,2711,3150,1492,1320,상승심각,24,7,상승심각,7,1,상승심각,7,2024-01-11,1,상순,1,중순,2024-01-12,6380,6219,6558,7049,6248,5136,2024-01-09,1,상순,1,중순,2024-01-12
2024-01-12,1001,배추,1.082,3.693,1868.333,1975,1799.333,1982,1345.667,1848,안정,18,4,안정,4,1,안정,4,2024-01-11,1,상순,1,중순,2024-01-12,2729,2776,3038,3191,2878,3410,2024-01-09,1,상순,1,중순,2024-01-12
2024-01-12,1101,무,-34.434,-6.073,793.7,890.7,841.9,940,1085,1211,하락주의,1,3,안정,4,1,안정,4,2024-01-11,1,상순,1,중순,2024-01-12,1446,1434,1823,1806,1819,1843,2024-01-09,1,상순,1,중순,2024-01-12
2024-01-12,1207,건고추,13.968,0,13512,13512,13512,13516,12528,11856,상승심각,98,7,상승심각,7,1,상승심각,7,2024-01-08,1,상순,1,중순,2024-01-09,18480,18544,18480,18427,16408,15675,2024-01-08,1,상순,1,중순,2024-01-09
2024-01-12,1209,마늘,-1.875,0,6750,6750,6750,6750,8125,6879,상승주의,71,5,상승주의,5,1,상승주의,5,2024-01-08,1,상순,1,중순,2024-01-09,9149,10054,9198,9674,12632,10335,2024-01-08,1,상순,1,중순,2024-01-09
2024-01-12,1201,양파,7.521,-10.049,1015,1070,1117,1216,1350,944,안정,82,4,안정,4,1,안정,4,2024-01-11,1,상순,1,중순,2024-01-12,2125,2340,2332,2313,2766,2157,2024-01-09,1,상순,1,중순,2024-01-12
2024-01-13,1001,배추,-1.028,-2.132,1829.333,1975,1868.333,1982,1345.667,1848,안정,19,4,안정,4,1,안정,4,2024-01-12,1,상순,1,중순,2024-01-13,2729,2776,3038,3191,2878,3410,2024-01-09,1,상순,1,중순,2024-01-12
2024-01-13,1101,무,-24.608,13.029,912.6,890.7,793.7,940,1085,1211,안정,1,4,안정,4,1,안정,4,2024-01-12,1,상순,1,중순,2024-01-13,1446,1434,1823,1806,1819,1843,2024-01-09,1,상순,1,중순,2024-01-12
2024-01-13,1207,건고추,13.968,0,13512,13512,13512,13516,12528,11856,상승심각,99,7,상승심각,7,1,상승심각,7,2024-01-09,1,상순,1,중순,2024-01-12,18448,18544,18480,18427,16408,15675,2024-01-09,1,상순,1,중순,2024-01-12
2024-01-13,1209,마늘,-1.875,0,6750,6750,6750,6750,8125,6879,상승주의,72,5,상승주의,5,1,상승주의,5,2024-01-09,1,상순,1,중순,2024-01-12,10039,10054,9149,9674,12632,10335,2024-01-09,1,상순,1,중순,2024-01-12
2024-01-13,1201,양파,12.394,4.336,1061,1070,1015,1216,1350,944,안정,83,4,안정,4,1,안정,4,2024-01-12,1,상순,1,중순,2024-01-13,2125,2340,2332,2313,2766,2157,2024-01-09,1,상순,1,중순,2024-01-12
2024-01-13,1202,대파,65.455,-16.438,2184,2623,2543,3150,1492,1320,상승경계,1,6,상승심각,7,1,상승심각,7,2024-01-12,1,상순,1,중순,2024-01-13,6380,6219,6558,7049,6248,5136,2024-01-09,1,상순,1,중순,2024-01-12
2024-01-14,1001,배추,-1.028,-2.132,1829.333,1975,1868.333,1982,1345.667,1848,안정,19,4,안정,4,1,안정,4,2024-01-12,1,상순,1,중순,2024-01-13,2729,2776,3038,3191,2878,3410,2024-01-09,1,상순,1,중순,2024-01-12
2024-01-14,1101,무,-24.608,13.029,912.6,890.7,793.7,940,1085,1211,안정,1,4,안정,4,1,안정,4,2024-01-12,1,상순,1,중순,2024-01-13,1446,1434,1823,1806,1819,1843,2024-01-09,1,상순,1,중순,2024-01-12
2024-01-14,1207,건고추,13.968,0,13512,13512,13512,13516,12528,11856,상승심각,99,7,상승심각,7,1,상승심각,7,2024-01-09,1,상순,1,중순,2024-01-12,18448,18544,18480,18427,16408,15675,2024-01-09,1,상순,1,중순,2024-01-12
2024-01-14,1209,마늘,-1.875,0,6750,6750,6750,6750,8125,6879,상승주의,72,5,상승주의,5,1,상승주의,5,2024-01-09,1,상순,1,중순,2024-01-12,10039,10054,9149,9674,12632,10335,2024-01-09,1,상순,1,중순,2024-01-12
2024-01-14,1201,양파,12.394,4.336,1061,1070,1015,1216,1350,944,안정,83,4,안정,4,1,안정,4,2024-01-12,1,상순,1,중순,2024-01-13,2125,2340,2332,2313,2766,2157,2024-01-09,1,상순,1,중순,2024-01-12
2024-01-14,1202,대파,65.455,-16.438,2184,2623,2543,3150,1492,1320,상승경계,1,6,상승심각,7,1,상승심각,7,2024-01-12,1,상순,1,중순,2024-01-13,6380,6219,6558,7049,6248,5136,2024-01-09,1,상순,1,중순,2024-01-12
2024-01-15,1001,배추,-3.084,-2.159,1790.667,1975,1829.333,1982,1345.667,1848,안정,20,4,안정,4,1,안정,4,2024-01-13,1,상순,1,중순,2024-01-15,2726,2776,2729,3191,2878,3410,2024-01-12,1,상순,1,중순,2024-01-15
2024-01-15,1101,무,-26.755,-2.863,887.2,890.7,912.6,940,1085,1211,안정,2,4,안정,4,1,안정,4,2024-01-13,1,상순,1,중순,2024-01-15,1434,1434,1446,1806,1819,1843,2024-01-12,1,상순,1,중순,2024-01-15
2024-01-15,1207,건고추,13.968,0,13512,13512,13512,13516,12528,11856,상승심각,99,7,상승심각,7,1,상승심각,7,2024-01-09,1,상순,1,중순,2024-01-12,18448,18544,18480,18427,16408,15675,2024-01-09,1,상순,1,중순,2024-01-12
2024-01-15,1209,마늘,-1.875,0,6750,6750,6750,6750,8125,6879,상승주의,72,5,상승주의,5,1,상승주의,5,2024-01-09,1,상순,1,중순,2024-01-12,10039,10054,9149,9674,12632,10335,2024-01-09,1,상순,1,중순,2024-01-12
2024-01-15,1201,양파,15.466,2.661,1090,1070,1061,1216,1350,944,안정,84,4,안정,4,1,안정,4,2024-01-13,1,상순,1,중순,2024-01-15,2317,2340,2125,2313,2766,2157,2024-01-12,1,상순,1,중순,2024-01-15
2024-01-15,1202,대파,112.955,22.305,2811,2623,2184,3150,1492,1320,상승심각,1,7,상승심각,7,1,상승심각,7,2024-01-13,1,상순,1,중순,2024-01-15,6210,6219,6380,7049,6248,5136,2024-01-12,1,상순,1,중순,2024-01-15
2024-01-16,1001,배추,-4.762,-1.723,1760.333,1975,1790.667,1982,1345.667,1848,안정,21,4,안정,4,1,안정,4,2024-01-15,1,상순,1,중순,2024-01-16,2729,2776,2726,3191,2878,3410,2024-01-15,1,상순,1,중순,2024-01-16
2024-01-16,1101,무,-22.709,5.163,935.5,890.7,887.2,940,1085,1211,안정,3,4,안정,4,1,안정,4,2024-01-15,1,상순,1,중순,2024-01-16,1431,1434,1434,1806,1819,1843,2024-01-15,1,상순,1,중순,2024-01-16
2024-01-16,1207,건고추,13.968,0,13512,13512,13512,13516,12528,11856,상승심각,100,7,상승심각,7,1,상승심각,7,2024-01-12,1,상순,1,중순,2024-01-15,18448,18544,18448,18427,16408,15675,2024-01-12,1,상순,1,중순,2024-01-15
2024-01-16,1209,마늘,-1.875,0,6750,6750,6750,6750,8125,6879,상승주의,73,5,상승주의,5,1,상승주의,5,2024-01-12,1,상순,1,중순,2024-01-15,10106,10054,10039,9674,12632,10335,2024-01-12,1,상순,1,중순,2024-01-15
2024-01-16,1201,양파,14.407,-0.926,1080,1070,1090,1216,1350,944,안정,85,4,안정,4,1,안정,4,2024-01-15,1,상순,1,중순,2024-01-16,2366,2340,2317,2313,2766,2157,2024-01-15,1,상순,1,중순,2024-01-16
2024-01-16,1202,대파,111.061,-0.897,2786,2623,2811,3150,1492,1320,상승심각,2,7,상승심각,7,1,상승심각,7,2024-01-15,1,상순,1,중순,2024-01-16,6209,6219,6210,7049,6248,5136,2024-01-15,1,상순,1,중순,2024-01-16
2024-01-17,1001,배추,-3.734,1.031,1778.667,1975,1760.333,1982,1345.667,1848,안정,22,4,안정,4,1,안정,4,2024-01-16,1,상순,1,중순,2024-01-17,2731,2776,2729,3191,2878,3410,2024-01-16,1,상순,1,중순,2024-01-17
2024-01-17,1101,무,-25.186,-3.256,906,890.7,935.5,940,1085,1211,안정,4,4,안정,4,1,안정,4,2024-01-16,1,상순,1,중순,2024-01-17,1411,1434,1431,1806,1819,1843,2024-01-16,1,상순,1,중순,2024-01-17
2024-01-17,1207,건고추,13.968,0,13512,13512,13512,13516,12528,11856,상승심각,101,7,상승심각,7,1,상승심각,7,2024-01-15,1,상순,1,중순,2024-01-16,18481,18544,18448,18427,16408,15675,2024-01-15,1,상순,1,중순,2024-01-16
2024-01-17,1209,마늘,-1.875,0,6750,6750,6750,6750,8125,6879,상승주의,74,5,상승주의,5,1,상승주의,5,2024-01-15,1,상순,1,중순,2024-01-16,10093,10054,10106,9674,12632,10335,2024-01-15,1,상순,1,중순,2024-01-16
2024-01-17,1201,양파,12.076,-2.079,1058,1070,1080,1216,1350,944,안정,86,4,안정,4,1,안정,4,2024-01-16,1,상순,1,중순,2024-01-17,2446,2340,2366,2313,2766,2157,2024-01-16,1,상순,1,중순,2024-01-17
2024-01-17,1202,대파,93.258,-9.212,2551,2623,2786,3150,1492,1320,상승심각,3,7,상승심각,7,1,상승심각,7,2024-01-16,1,상순,1,중순,2024-01-17,6149,6219,6209,7049,6248,5136,2024-01-16,1,상순,1,중순,2024-01-17
2024-01-18,1001,배추,11.31,13.545,2057.333,1975,1778.667,1982,1345.667,1848,안정,23,4,안정,4,1,안정,4,2024-01-17,1,상순,1,중순,2024-01-18,2841,2776,2731,3191,2878,3410,2024-01-17,1,상순,1,중순,2024-01-18
2024-01-18,1101,무,-27.498,-3.142,878.4,890.7,906,940,1085,1211,안정,5,4,안정,4,1,안정,4,2024-01-17,1,상순,1,중순,2024-01-18,1445,1434,1411,1806,1819,1843,2024-01-17,1,상순,1,중순,2024-01-18
